id,sent0,sent1,gold_label
28317,Every country's territory is untouchable,Each country's territory may be violated,1
28318,The universe has many planets.,"The universe has only one planet, that's Earth.",1
28319,Thieves steal people's money,Thieves steal people's arms,1
28320,Music is a very bad sound.,Music is a very beautiful sound.,0
28321,The scarf is just a decorative object.,Scarf is a kind of heat conservation,0
28322,Refrigerators prevent food from spoiling,Refrigerator accelerates food deterioration,1
28323,Man is the greatest mammal in the world.,Whales are the largest mammals in the world,0
28324,Rabbits are cold-blooded animals.,Fish are cold-blooded animals.,0
28325,Minors are not allowed to buy cigarettes,Minors can buy cigarettes,1
28326,The gym is a good place to play sports.,The gym is a good place to eat.,1
28327,I love melon very much because it's very delicious.,I love melon very much because it's very unpleasant.,1
28328,"He's a passionate person, so he's very popular.","He's a selfish man, so he's very popular.",1
28329,I was squeezing tomato sauce on bread for breakfast,I squeeze bread oil for breakfast,1
28330,The steam engine is one of the most important inventions in human history.,The Steam engine is the most important record in human history.,1
28331,Peter was five minutes late for the last bus.,Peter was five minutes late to catch the last bus.,1
28332,The rich are very rich.,The poor are very rich.,1
28333,Basketball is one of my favorite tools.,Piano is one of my favorite instruments.,0
28334,We can go to the barbers for dinner.,We can go to the barber's and get a haircut.,0
28335,He likes to explore mountains on foot.,He likes to explore the sea on foot.,1
28336,Sound can travel in a vacuum.,Sound can travel through the air.,0
28337,Ordinary people are the most powerful people in antiquity,The emperor was the most powerful man in ancient times.,0
28338,Mobile phones are a portable means of transport,Mobile phones are a portable means of communication,0
28339,Crossing the road is very safe.,Crossing the road is dangerous,0
28340,Everyone should have the quality of deception.,Everyone should have a quality of honesty.,0
28341,Hat is just an ornament,Hat is a protective device,0
28342,Ear is an organ to see,The eye is an organ to see,0
28343,Friendship is an important emotion,Friendship is important food,1
28344,Everyone's habits of life are the same.,Everyone's habits of life are different.,0
28345,People need to wear clothes in winter to withstand the cold.,People need to wear short sleeves in winter to withstand the cold.,1
28346,Different styles of dressing will give people the same feeling.,Different styles of dressing can make people feel different.,0
28347,Ships need to travel overland.,Ships need to sail by sea.,0
28348,A lot of alcohol is bad for your health.,A lot of alcohol is good for your health.,1
28349,Drivers with a licence can drive on the road.,Drivers without a licence can drive on the road.,1
28350,Emergency lanes should not be manned on express,Emergency lanes can be occupied on express,1
28351,There are many plants in the oasis.,There are many plants in the desert.,1
28352,You should rest when you feel tired.,You should run when you're feeling tired.,1
28353,There are many dinosaurs in school.,There are many classes in school.,0
28354,Shoes should be on the rack,Shoes should be on a hanger,1
28355,People can pick strawberries from trees.,People can pick apples from trees.,0
28356,Steel is very hard.,Plastics are very hard.,1
28357,Fish can survive in the ocean,Pigs can survive in the ocean.,1
28358,Clothes can be used to make rings.,Fabric can be used to make clothes.,0
28359,Human beings don't need to eat to get energy.,People need to eat to get energy.,0
28360,Tigers live in the ocean,Tigers live in the jungle,0
28361,I need a bath to ease the hunger.,I need to eat to ease the hunger.,0
28362,Buses need water to operate.,Buses need gas to operate.,0
28363,Make-up can make girls uglier,Make- up can beautify girls,0
28364,Cars can travel in the sky,Cars can travel overland.,0
28365,Rabbit is very cute.,Rabbit is very furious.,1
28366,Many people like to drink gasoline.,Many people like to drink fruit juice.,0
28367,Piranha is a very fine fish.,The piranha is a very ferocious fish.,0
28368,Salt is the most common animal in life.,Salt is the most common condition in life,0
28369,Cups can be used for eating,Cups can be used to drink water.,0
28370,Soil is suitable for human survival,The ocean is suitable for human existence,1
28371,The old skin becomes very rough.,The old skin becomes very smooth.,1
28372,Drinking too much beer can make people throw up,Drinking too much beer will give you an appetite,1
28373,Sidewalk ride should be accelerated,Walking should be slow,0
28374,There are many deserts in the Arctic.,There are many glaciers in the Arctic.,0
28375,"If you're cold, you should cut into your clothes.","If you're cold, you should add clothes.",0
28376,There are many animals in the entertainment circle.,There are many stars in the entertainment circle.,0
28377,Wool comes from sheep,The wool comes from the cutters.,1
28378,"This dress is very cheap, so I can't afford it.","This dress is very expensive, so I can't afford it.",0
28379,Lemon tastes very sour.,Lemon tastes very sweet.,1
28380,The color of the sea is red.,The color of the sea is blue.,0
28381,Refrigerators can provide a low-temperature environment,Heater can provide low temperature environment,1
28382,We can go swimming in class,We can go swimming in the swimming pool,0
28383,Many people like to talk to bricks on the phone.,Many people like to make cell phone calls.,0
28384,She likes to travel on a plane.,She likes to travel on her mobile phone.,1
28385,You can shift the sun and let the sunlight in.,You can open the window and let the sun in.,0
28386,You should go to the chef when you're sick.,You should see a doctor when you're sick.,0
28387,There are many clouds floating in the sky.,There are many little white rabbits floating in the sky.,1
28388,We can eat food from books.,We can learn knowledge from books.,0
28389,Gasoline can be used to put out fires.,Water can be used to extinguish fires.,0
28390,Internet cafe is a good place to learn,Internet cafe is a good place to surf the internet,0
28391,Fresh cake tastes very delicious.,Fresh cake tastes terrible.,1
28392,Computer is one of humanity's most important inventions,Elephants are one of the most important human inventions.,1
28393,People can have fun in society.,People can have fun on the field.,0
28394,Dinosaurs still exist today.,Dinosaurs don't exist now.,0
28395,I have two legs.,I have five legs.,1
28396,I can heat food in the washing machine.,I can heat food in the microwave.,0
28397,The maple leaves are green in autumn.,Maple leaves are red in the fall.,0
28398,A soldier's duty is to protect his country.,A soldier's duty is to teach and educate.,1
28399,Humans can go into space by spaceship.,People can fly into space by plane.,1
28400,I wear sandals this summer.,I wear sandals in winter.,1
28401,You walk on two legs.,You walk on ten legs.,1
28402,I called an ambulance when she passed out.,I called the fire department after she passed out.,1
28403,Penguins live on land and in water,Penguins live in the air.,1
28404,All girls like handsome guys.,Some girls like handsome guys.,0
28405,I look shorter in high heels.,I look taller in high heels.,0
28406,Flies bite people.,Mosquitoes bite people.,0
28407,Students can cheat on exams.,Students cannot cheat on exams.,0
28408,People can drive on the road without a license.,People can't drive on the road without a license.,0
28409,Those who work hard can succeed.,Those who work hard will surely succeed.,1
28410,Some people use the right hands to write.,All people use the right hands to write.,1
28411,Music can release people.,Music can make people nervous.,1
28412,The sun rises in the east.,The sun falls in the east.,1
28413,We can see animals at the zoo.,We can see the animals in the botanical garden.,1
28414,You can lose weight by exercising.,You can lose weight by eating junk food.,1
28415,I can play computer games in the cinema.,I can watch movies at the movies.,0
28416,People can't fly.,People can fly.,1
28417,"The more you play, the better grades you'll get.","The harder you study, the better your grades will be.",0
28418,A mirage can only appear in the desert.,A mirage can appear in the desert.,0
28419,Playing computer games for a long time is good for health.,Playing computer games for a long time is bad for health.,0
28420,Fish can't live without water.,Fish can live without water.,1
28421,I hear the book.,I read the book.,0
28422,Breakfast is bad for health.,Breakfast is good for health.,0
28423,Junk food is good for our bodies.,Junk food is bad for our bodies.,0
28424,Listening to music is a great way to relax.,Writing papers is a great way to relax.,1
28425,Women can give birth to babies.,Men can give birth to babies.,1
28426,Electric light is a great invention.,Electric light is a big discovery.,1
28427,Frogs can't live on land.,Frogs can live in water.,0
28428,Coffee tastes too strong so she asks for milk,Coffee tastes too weak so she asks for milk,1
28429,We can't take an umbrella on a sunny day.,We take umbrellas on a rainy day.,0
28430,I can fly to school.,I can take the bus to school.,0
28431,Fishermen can catch sharks in the sea.,Fishermen can catch sharks in the river.,1
28432,Potatoes grow on trees.,Pears grow on trees.,0
28433,Mobile phones can be used to make calls.,Mobile phones cannot be used to take video.,1
28434,Women will be left with long hair.,Men can't stay long hair.,1
28435,Tim always goes to the same gym for breakfast,Tim always goes to the same restaurant for breakfast,0
28436,Having a special skill isn't important to new graduates.,Having a special skill set is very important for new graduates.,0
28437,No need to recharge mobile phones,Mobile phones need to be recharged.,0
28438,People don't have to categorize everything after use.,People should categorize everything after you use it.,0
28439,Young workers are usually neglected in the workplace.,Young workers are not usually neglected in the workplace.,1
28440,People aren't anxious when they go into strange surroundings.,People get anxious when they go into strange surroundings.,0
28441,"When it rains, you shouldn't take an umbrella.","When it rains, you should take an umbrella.",0
28442,Excessive obesity is good for your health.,Excessive obesity is bad for your health.,0
28443,Excessive thinness is good for your health,Excessive thinness is not good for your health.,0
28444,"If you don't understand, you should ask.","If you don't understand, you shouldn't ask.",1
28445,People's thoughts should be updated from time to time.,People's thoughts should not be updated from time to time,1
28446,Playing chess is bad for people.,Playing chess is good for people.,0
28447,Managers usually have strong skills.,Managers usually don't have any strong skills.,1
28448,The family environment is very important for children.,The family environment is not important to children.,1
28449,Peeling should be performed before eating the fruit.,Peeling doesn't need to be made before eating fruit.,1
28450,Lions like to eat meat.,Lions like to eat weed.,1
28451,Math teachers are good at teaching arithmetic.,English teachers are good at teaching arithmetic.,1
28452,You can fly on wings.,Birds can fly on wings.,0
28453,He wants to go to the pet store to buy a pet.,He wants to go to the supermarket to buy a pet.,1
28454,I work 24 hours a day.,I work 30 hours a day.,1
28455,Parrots can mimic human speech.,Rabbits can mimic human speech.,1
28456,People can learn to drive in driving schools.,People can learn to drive in primary schools.,1
28457,One cannot be reborn.,One can be reborn.,1
28458,We turn on the air conditioning to cool it off in winter.,We'll turn on the air conditioning to cool off in the summer.,0
28459,Dogs are ferocious animals.,Tigers are ferocious animals.,0
28460,I can watch the moon rise early in the morning,I can watch the moon rise tonight,0
28461,The bike has two wheels.,The car has two wheels.,1
28462,People eat with their mouths.,People eat with their eyes.,1
28463,Children like to take medication.,Kids like to eat sugar.,0
28464,Patients live in a theme park.,Patients live in hospitals.,0
28465,The car is environmentally friendly.,The bike is an ecological means of transport.,0
28466,People are comfortable when they're sick.,People feel bad when they're sick.,0
28467,Students cannot cheat on exams.,Students can cheat on exams.,1
28468,Light can bring us light.,A table can bring us light.,1
28469,Breakfast night.,She eats breakfast in the morning.,0
28470,I saw clouds floating in the sea.,I saw clouds floating in the sky.,0
28471,We have to wear cotton jackets in winter.,We have to wear cotton jackets this summer.,1
28472,The air people breathe is carbon dioxide.,The air people breathe is oxygen.,0
28473,People need to walk standing up.,People need to sit and walk.,1
28474,I wear clothes on my feet.,I wear boots on my feet.,0
28475,I leave food in the refrigerator.,I leave food in the microwave.,1
28476,Eating too much for dinner is good for health.,Eating too much for dinner is bad for health.,0
28477,Humans and monkeys can communicate in language.,People can communicate in language.,0
28478,Mobile phones can be used when they have electricity.,Mobile phones can be used when they are without power.,1
28479,Butterflies can make honey.,Bees can make honey.,0
28480,There are dragons in real life.,There is no dragon in real life.,0
28481,I see bacteria with my naked eyes.,I can see the bacteria with a microscope.,0
28482,I see myself in the mirror.,I can see myself on the wall.,1
28483,It's hot to have long hair in winter.,It's hot to have long hair in the summer.,0
28484,He lit a cigarette with a lighter.,He lit a cigarette with wood.,1
28485,Cancer is hard to treat.,Cancer is easy to treat.,1
28486,Waste batteries are good for the environment.,Waste batteries are harmful to the environment,0
28487,People build houses in the air.,People build houses on the ground.,0
28488,All cars burn oil.,Not all cars burn oil.,0
28489,We feed our dogs dog food.,We feed the turtles dog food.,1
28490,A woman applies lipstick to her mouth.,A woman applies face cream to her mouth.,1
28491,Three-year-old kids can't drink wine.,Three-year-old kids can drink wine.,1
28492,People enjoy being cool under a streetlamp.,People enjoy being cool under the trees.,0
28493,Players play football with their hands.,Players play basketball with their hands.,0
28494,People can take the subway in the air.,People can take the subway underground.,0
28495,The Internet makes people's lives more comfortable.,No Internet makes people's lives more comfortable.,1
28496,One can live without air.,You can't live without air.,0
28497,Felling more trees is beneficial for protecting against wind and fixing sand.,Planting more trees is beneficial for the windbreak and fixing sand.,0
28498,Lemons are sour.,Bananas are sour.,1
28499,People go to the park to buy vegetables.,People go to the vegetable market to buy vegetables.,0
28500,The leaves are yellow in summer.,The leaves are green in summer.,0
28501,The fruit ripens in the spring.,The fruit ripens in the autumn.,0
28502,People can see things distinctly in the distance with their only eyes.,People use binoculars to see things clearly into the distance.,0
28503,Kids like to eat paper.,Kids like to eat snacks.,0
28504,Books can quench thirst.,Water can quench thirst.,0
28505,Fish can't leave the water.,Fish can leave the water.,1
28506,Rabbits run very fast.,The turtle runs very fast.,1
28507,Students study at school.,Students cook at school.,1
28508,The sun rises at night.,The sun rises in the morning.,0
28509,The ice melts when the sun shines on it.,Ice freezes when the sun shines on it.,1
28510,I can pick apples from the apple tree.,I can pick apples from the pear.,1
28511,The ice is hot.,The fire is hot.,0
28512,You can't talk freely in class.,You can talk freely in class.,1
28513,People can't live without water.,People can live without water.,1
28514,People can't cross the road at will.,People can cross the road at will.,1
28515,A pair of high heels would help if you climbed a mountain.,A pair of hiking boots would help you climb the mountain.,0
28516,Children shouldn't play with fire.,Children are free to play with fire.,1
28517,Fighting is bad behavior.,Fighting is good behavior.,1
28518,You can drink raw water.,Raw water cannot be drunk.,0
28519,The sun appears in the day.,The moon appears by day.,1
28520,Chicken is a kind of fruit.,Apple is a kind of fruit.,0
28521,The wind can easily blow up a house.,The wind can easily blow up sand.,0
28522,They caught a fish in the woods.,They caught a rabbit in the woods.,0
28523,All grass is inedible.,Most grass is inedible.,0
28524,Street lamp lights up when it's bright,Street lamp lights up when it's dark,0
28525,He's a farmer and good at growing crops,He's a farmer and good at growing students,1
28526,They went camping and lived in tents.,They went camping and stayed in five-star hotels.,1
28527,We're going to the restaurant to see the doctor.,We're going to the hospital to see the doctor.,0
28528,The sun sets in the west.,The sun rises in the west.,1
28529,Brushing your teeth regularly is good for your teeth.,Eating more sugar regularly is good for your teeth.,1
28530,Hard work can improve academic performance.,Playing more computer games can improve academic performance.,1
28531,Drinking milk helps children grow up,Drinking coffee helps children grow up,1
28532,People can change their fates by seeking pleasure.,People can change their destiny with hard work.,0
28533,Teachers like dishonest children.,Teachers like honest children.,0
28534,We can't make much noise in the library.,We can make a lot of noise in the library.,1
28535,We can smoke in public.,We can't smoke in public.,0
28536,Children can receive knowledge from their teachers.,Children can only receive knowledge from their teachers.,1
28537,Bats go hunting at night.,Bats go hunting during the day.,1
28538,I can't play badminton alone.,I can play badminton myself.,1
28539,There's plenty of sand in the desert,There's plenty of water in the desert,1
28540,All Koreans like cucumbers.,Koreans like cucumbers.,0
28541,He called me and his phone rang.,He called me and my phone rang.,0
28542,We don't have to wash our hands after we go to the bathroom.,We should wash our hands after we go to the bathroom.,0
28543,Staying up late can prolong a person's life.,Staying up late can shorten a person's lifespan.,0
28544,People usually relieve stress by listening to music.,People usually relieve stress by killing people.,1
28545,You have a fever and you need a good rest.,You have a fever and you need to keep working.,1
28546,"When we're happy, we laugh.","When we're sad, we laugh.",1
28547,She dated a classmate yesterday.,She dated an alien yesterday.,1
28548,One can live on Mercury.,One cannot live on Mercury.,0
28549,We can spit everywhere.,We can't spit everywhere.,0
28550,You can eat spoiled food.,You can't eat spoiled food.,0
28551,Most people have a heart in their left chest.,Most people have a heart in their right chest.,1
28552,Locusts are pests.,Locusts are beneficial insects.,1
28553,He often rides a roller coaster because he has a heart condition.,He never rides a roller coaster because he has a heart condition.,0
28554,People should eat sensibly.,People should overeat.,1
28555,A ruler can be used to write.,Pencils can be used to write.,0
28556,It was so hot he ate ice cream,It was so hot he drank a cup of hot water,1
28557,He tied the stick with a snake,He tied the staff with rope,0
28558,He was in such a bad mood that he couldn't help but dance.,He was in such a good mood that he couldn't help but dance.,0
28559,"He was busy, so he worked overtime","He was busy, so he left early",1
28560,Put out the fire with water,Put out the fire with oil,1
28561,He locked the door before coming out,He opened the door before going outside,1
28562,Overslept and arrived at the office early,Overslept and was late for work,0
28563,He picked up a comb and started combing his hair,He picked up a knife and began combing his hair.,1
28564,"The water in the pot was boiling, so he turned on the fire","The water in the pot was boiling, so he turned off the fire",0
28565,"His handwriting is very ugly, so everyone praises him",His handwriting is so good that people always praise him,0
28566,"The ground was spotless, so he started sweeping the floor","There was a lot of rubbish on the ground, so he started sweeping the floor",0
28567,The film was so funny they made him laugh,The film was so funny it made him cry with sadness,1
28568,The problem was so severe it took him a long time to solve.,The problem was so difficult that it was easily solved,1
28569,He went to the museum at midnight,He went to the museum this afternoon,0
28570,"He's afraid of the dark, so he hardly comes out at night","He's afraid of the dark, so he goes out every night",1
28571,He has a bad memory and often forgets things,He has a bad memory and will never forget anything,1
28572,He played a piano tune,Played a tune on the table,1
28573,She's tall and thin,It's tall and short,1
28574,Ant climbed a tree,Ant jumped up a tree,1
28575,He turned on the TV first and plugged in the power,First he plugged in the power and turned on the TV,0
28576,"He often dreams, so his sleep quality is very poor","He often dreams, so his sleep quality is very good",1
28577,"He was sleepy, so he picked up his cell phone and went back online","He was sleepy, so he put the phone down and got ready for bed",0
28578,His skin turned white after he left for the desert,He tanned after going to the desert for a few days.,0
28579,Wiped the table clean with a rag,Cleaned the table with sandpaper,1
28580,He's already 20 years old and an adult,He's 12 years old and already an adult,1
28581,"He spent all the money, so there was no money in his wallet","He spent all the money, so there was still a lot of money in his wallet",1
28582,"He doesn't like crowded places, so he always goes to the mall","He doesn't like crowded places, so he always stays indoors",0
28583,Applied transparent glue to wound to stop bleeding,Applied a patch to the wound to stop the bleeding,0
28584,Mom has a beard,Mom doesn't have a beard,0
28585,My older brother is two years older than me.,My older brother is two years younger than me.,1
28586,He gently laid the glass on the floor,He put the glass down hard,1
28587,"He's allergic to peanuts, so he never eats peanut butter","He's allergic to peanuts, so he often eats peanut butter",1
28588,"It was too noisy outside, so he opened the window","It was too noisy outside, so he closed the window",0
28589,Crumpled the ruler and threw him in the garbage can,Crumpled the paper and threw it in the garbage can,0
28590,Went fishing in the aquarium,Went fishing by the river,0
28591,He was stung by a puppy,He was stung by a bee,0
28592,It rained at night and the road was wet,It was raining last night and the road was dry.,1
28593,He runs in high heels,Runs in sneakers,0
28594,He broke up so he was very sad,He broke up so he was very happy,1
28595,"He couldn't afford a second-hand car, so he bought a new one.","He couldn't afford a new car, so he bought a second-hand car",0
28596,"She ate expired food, so she had diarrhea","She ate expired food, so she broke her bone",1
28597,"He's short-sighted, so he got myopic glasses","He's short-sighted, so he's got reading glasses",1
28598,"It's her birthday today, so she got many gifts","It's her birthday today, so she gave gifts to others",1
28599,Doctors never get sick,Doctors sometimes get sick,0
28600,Went to the gas station to fill the car,He went to the amusement park to refuel his car,1
28601,The doctor told her not to eat too much sugar when she had cavities,The doctor told her to eat more sugar when she had sinuses,1
28602,The whole class passed the exam and the teacher is happy,The whole class passed the exam and the teacher is angry,1
28603,"He's good at playing basketball, so he becomes a professional chef.","He's good at playing basketball, so he becomes a professional player.",0
28604,Randomly picked up a book,Randomly picked up the house,1
28605,He picked up many rounds on the beach,Collected a lot of volleyball on the beach,1
28606,Frog sings on stage,She sang on stage,0
28607,He watches TV shows on his watch.,Watches TV shows on his iPad,0
28608,"Grandma doesn't have teeth, so she often eats nuts",Grandma doesn't have teeth so she can't eat nuts,0
28609,It was so hot he sweated a ton,It was hot and he was sweating all over.,0
28610,He went to the men's room,He went to the women's toilets,1
28611,Washed his hands with charcoal,Washed his hands with soap,0
28612,Saw a seagull on the beach,Saw a seagull in the desert,1
28613,Mice chewed through my books,Mice chewed through my glass,1
28614,"His birthday is February 29, so he can't celebrate it every year","His birthday is February 29, so his birthday is every year",1
28615,"The traffic light was green, so he stopped",The traffic light was red and stopped,0
28616,He took the whale out of the school bag,He took the pen out of the school bag,0
28617,"The sun was too bright, so he took off his sunglasses","The sun was too bright, so he put on his sunglasses",0
28618,Unlocked the door with a port key,Unlocked the door with a car key,1
28619,"In the hallway of the hospital, he felt disinfection","In the hallway of the hospital, he smelled a grilled fish",1
28620,Planted a tree next to the road,Planted a tree in the middle of the road,1
28621,"He had a bad appetite, so he ate a lot",He has a bad appetite so he can't eat,0
28622,He sat on a cactus and watched TV,He was sitting on the sofa watching TV.,0
28623,He went to the airport to take the plane.,He took a plane to the station,1
28624,Dad threw grass on the lawn,Dad used to throw weed on the freeway,1
28625,They went camping at the top of the mountain,They went camping in kindergarten,1
28626,"The box was too heavy, making it feel easy to move",The box was too heavy to move.,0
28627,Dad shaved with papers,Dad shaves with a razor,0
28628,Modesty makes you backward,One's modesty forces progress.,0
28629,Dined in the morning,Breakfast in the morning,0
28630,He's seen plenty of mushrooms at Disney Park,Saw Mickey Mouse at Disney Park,0
28631,"He doesn't like fruit, but he likes bread","He doesn't like fruit, but he likes apples",1
28632,"The song was terrible, so he listened to it many times.",The song was so beautiful he heard it many times,0
28633,"He was very late, so he finished the task ahead of schedule.","He was very efficient, so he finished the task ahead of schedule.",0
28634,Transport facilities belong to private ownership,Transport facilities belong to public property,0
28635,Learning history can help us understand what happened before.,Learning history can help us understand what will happen in the future.,1
28636,No flammable and explosive goods on high-speed rail,Flammable and explosive objects allowed on high-speed rail,1
28637,All dogs in public places should be cooked through,All dogs in public places should be released,1
28638,Scholarship is an honor for students.,Scholarships are a disgrace to students.,1
28639,A dictionary can explain the meaning of the word.,Dictionaries can explain some of the laws of nature.,1
28640,Different people have the same occupation.,Different people have different occupations.,0
28641,Taking notes in class is a good habit,Taking notes in class is a bad habit,1
28642,Sewage is very important to cities.,Sewage is not important to the city,1
28643,The pool is a good place to sleep.,The pool is a good place to swim.,0
28644,The heart of a kind man is very mischievous.,The heart of a kind man is very beautiful.,0
28645,The beacon showed the ship's path.,The beacon misled the ship.,1
28646,Beggars usually have luxury villas.,Beggars are usually homeless,0
28647,Guitar is one of my favorite sports.,Badminton is one of my favorite sports.,0
28648,He likes to run at sea.,He likes to run on the field.,0
28649,He likes to fish in the desert.,He likes to fish at sea.,0
28650,The moon is very suitable for human habitation.,The country is very suitable for human habitation.,0
28651,Weather change is a natural phenomenon,Weather change is artificial behaviour,1
28652,Mercedes-Benz is a brand of automobiles,Mercedes-Benz is the animal's name.,1
28653,Teeth are the most vulnerable organs in the human body.,Teeth are hard organs in the human body.,0
28654,Planes can fly in the sky,Planes can dive into the water.,1
28655,Wolves are solitary animals.,Wolves are social animals.,0
28656,A cat is a beautiful cat.,Cheetah's a beautiful cat,1
28657,Yogurt is a fermented product,Milk is a fermented product,1
28658,Vinegar is a traditional spice,Coke is a traditional conditioner,1
28659,People can bathe in the bathroom.,People can bathe in the bedroom.,1
28660,The polar region is very cold.,The polar region is very warm.,1
28661,Cheese is a ground milk product.,Cheese is a fermented milk product.,0
28662,Ancient and modern society has different social systems.,Ancient and modern have the same social system,1
28663,Bees are pests,Bees are beneficial insects,0
28664,There should be equality between men and women.,There should be inequality between men and women.,1
28665,Bars are good places to sleep.,Bars are good places to dance to your heart's content.,0
28666,The bedroom can cook.,The kitchen can cook.,0
28667,I like eating with shampoo,I like eating with chilli peppers.,0
28668,People can talk on the phone.,People can talk to the dead on the phone.,1
28669,Weekends are people's legal holidays,Monday is the legal holiday of the people,1
28670,Most judges are fair.,Most judges are unfair.,1
28671,High-speed rail trading venues are suitable for rich people.,High-speed rail commercial seats are suitable for the poor.,1
28672,Man can breathe in the air,A person can breathe in a vacuum,1
28673,I parked the car in the kitchen.,I parked my car in the parking lot.,0
28674,We can open a window to vent.,We can close the windows so we can vent.,1
28675,The sun itself cannot shine,The sun itself shines.,0
28676,The police's duty is to arrest criminals.,The police's duty is to help criminals.,1
28677,The knife is very sharp.,The knife is very soft.,1
28678,Tornadoes are a natural disaster,Tornadoes are an animal.,1
28679,Hospitals are places where people practice.,Hospitals are places where people treat diseases.,0
28680,Different people have the same look.,Different people have different looks.,0
28681,Everyone has the same interests and hobbies.,Everyone has their own interests and hobbies.,0
28682,Tanks are a very powerful military weapon.,Tanks are a very powerful means of communication.,1
28683,Cancer is a disease that is difficult to treat.,Cancer is easy to treat.,1
28684,It is the duty of students to teach and educate people.,It is the duty of students to study hard.,0
28685,Steel is made of clay.,The bricks are made of clay.,0
28686,Dairy cows can be planted on the property.,Trees can be planted on the property.,0
28687,The sun brings darkness to humanity,The sun brings light to people,0
28688,Moon light comes from the sun,The light of the moon comes out of itself,1
28689,Different vehicles have the same speed.,Different vehicles have different speeds,0
28690,Drugs can bring great benefits to the body.,Drugs can cause major damage to the body.,0
28691,Puddle ride should go at low speed,The puddle ride should be fast,1
28692,Bow is the name of the ornament.,A bow is a butterfly's name.,1
28693,Fruits are rich in nicotine.,Fruits are rich in vitamins.,0
28694,Birds with wings can fly in the sky,Man has wings and can fly in the sky.,1
28695,An ostrich is a fast-running bird.,An ostrich is a fast flying bird.,1
28696,He likes to ride horses.,He likes to travel with a cat.,1
28697,You can sign up for a makeup class for the trip.,You can sign up for a tour group for the trip.,0
28698,Butter is a dairy product.,Butter is a kind of milk.,1
28699,Motorcycles need petrol to operate,Bikes need cooking oil to drive,1
28700,Farmers live by growing crops.,Farmers live by planting money,1
28701,Summer is very cold at all times of the year.,Summer is very hot at all times of the year.,0
28702,Electric cars need electricity to power,Electric cars need gasoline to power,1
28703,A bedroom is a good place to sleep.,The bedroom is well cooked.,1
28704,Ancient humans were very backward in science and technology compared to modern humans,Ancient humans were very advanced in science and technology when compared to modern humans,1
28705,Pesticides kill plants,Pesticides kill pests,0
28706,Dogs mainly radiate heat with their tongues.,Dogs are heated mainly by sweat glands,1
28707,Plants are regulated in harsh environments.,Plants migrate at any time in harsh environments.,1
28708,Plants can photosynthesize,People can photosynthesize,1
28709,A human kidney is a digestive organ.,The human stomach is a digestive organ.,0
28710,The candle itself burns to bring light,Candle turns electricity into light,1
28711,People are inherently unequal,People are born equal.,0
28712,Everyone should obey the law.,Everyone should trample on the law,1
28713,People like to keep a furious tiger like a pet,People like a cute dog as a pet,0
28714,The snail's shell is his food.,The snail's shell is his home.,0
28715,Pigs have long tails.,Human beings have long tails,1
28716,Gold is very expensive.,Gold is very cheap.,1
28717,People should wear sunglasses when they're short-sighted.,People should wear glasses when they're myopic,0
28718,The order of writing in modern society is left to right.,The order of writing in modern society is from right to left.,1
28719,The war is very friendly.,War is very cruel.,0
28720,Science and Technology Make Our Company Advance,Science and technology are putting our society behind,1
28721,Different races have different skin colors,Different races have the same skin colour,1
28722,The earth is almost a square planet.,Earth is an elliptical planet.,0
28723,His boss fired him for laziness,His boss threw him out for a hard time.,1
28724,You should rest if you feel tired and stressful.,You should continue working if you feel tired and stressful.,1
28725,You should receive treatment if you realise you are suffering from depression.,You don't need treatment if you realize you're suffering from depression.,1
28726,Disposable plastic bags will not result in major environmental damage.,Disposable plastic bags will lead to major environmental damage.,0
28727,Judging a man by his appearance is good.,Judging a man by his appearance is wrong.,0
28728,Setting a target is not necessary.,Setting a target is necessary.,0
28729,Too many dedicated games aren't bad.,Too many dedicated games are wrong.,0
28730,Young people should do volunteer events.,Young people should not do volunteer events.,1
28731,We can ignore a frustrating education.,The upbringing to frustration should be strengthened.,0
28732,Health is vital to life.,Health is not important to life.,1
28733,Mobile phones bring comfort to life.,Mobile phones don't bring comfort to life,1
28734,Trees are indispensable to the environment.,Trees are not indispensable to the environment.,1
28735,Knowledge plays an important role in our lives.,Knowledge has little meaning in our lives.,1
28736,People should read selectively.,People don't need to read selectively.,1
28737,The environment is not important to the restaurant.,The environment is very important to the restaurant.,0
28738,Drug abuse is a bad thing.,Drug abuse is a good thing.,1
28739,Vocabulary is an important part of learning English,Vocabulary is not an important part of learning English,1
28740,Salary level is not an important criterion for measuring work.,The salary level is an important criterion for measuring employment.,0
28741,Water resources are not important to people.,Water resources are very important to people.,0
28742,Eating adequate amounts of fruit is bad for people.,Eating an appropriate amount of fruit is good for people.,0
28743,Alcohol is bad for the human body.,Alcohol doesn't harm the human body.,1
28744,Adequate sleep has little effect on health.,Adequate sleep is an important factor in maintaining good health.,0
28745,Excessive weight loss is unhealthy.,Excessive weight loss is not a big problem.,1
28746,Excessive jealousy is not a good thing.,Too much jealousy is a good thing,1
28747,Global warming should not attract people's attention,Global warming should draw people's attention,0
28748,Drinking coffee is bad for human health,Drinking coffee is not harmful to human health.,0
28749,It's not advisable to spoil children.,It's good to spoil the kids.,1
28750,Not having breakfast won't be harmful to people.,Not having breakfast will be harmful to people.,0
28751,Teachers should not curse children too much,Teachers should swear too much at children,1
28752,People should indulge in gambling,People shouldn't indulge in gambling.,0
28753,People shouldn't drive after being drunk.,People should drive after being drunk,1
