id,FalseSent,OptionA,OptionB,OptionC
661,he gave his dresses to wash in the study room,Dresses cannot be washed in the study room.,A dress is not a washing tool.,You don't wash clothes in the study room
1185,Fruits and vegetables provide toxins,Fruits and vegetables do not contain toxins.,Fruits and vegetables are not toxic.,Fruits and vegetables do not contain toxtox@@
1968,mailmen deliver babies,Men cannot deliver babies.,Mailmen deliver mail.,Mailmen do not give birth to babies
1319,Fish can help you learn,Reading does not help you learn.,Fish are not learning aids.,Fish fish are fish
651,They write their exam by a water bottle.,Water bottles are not writing utensils.,Water bottles are not used for writing exams.,Water bottles do not have the ability to write exams.
1815,When people are hungry they drink water and do not eat food.,Water is not a food,Water is not a food.,People who are hungry do not drink water.
1599,he kept the ice cream in the oven,Ice cream would melt in the oven.,Ice cream is not kept in the oven.,Ice cream is kept in the oven
1827,people usually walk backward,People usually walk forward.,People usually walk forward.,People usually walk backwards
1258,Insects eat men,Men do not eat insects.,Insects are not eatable.,Insects do not eat men
323,All insects are ants.,Ants are not insects.,Insects are not ants.,Insects are insects.
818,bananas grow on the ground,Bananas grow on trees.,Banana grows on the tree.,Bananplants grow on the ground
177,athletes are slow,Athletes are fast.,Athletes are fast.,Athletes slow slow
583,He smokes Cigarettes in a gas station.,Cigarettes are not sold at gas stations.,Gas stations don't sell cigarettes.,Gas stations don't smoke Cigarettes.
1567,Canada is a country in Antarctica,There is no country in Antarctica.,Antarctica is not a country.,Canada is a country in Antarcti@@
1108,The dog bought a new pet.,Dogs can't buy pets.,Dogs don't have pets.,Dogs don't have pets.
658,dogs are very social animals who prefer a solitary existence to live in a pack,Leopards live in packs.,Dogs are not social animals.,Dogs are social animals
1726,donkeys walk on two legs,Monkeys walk on two legs.,Donkey's have two legs.,Donkeys don't walk on two legs
1705,To get to the top of the building you must use an elevator,Elevators do not go to the top of the building.,Elevators are not used to get to the top of the building.,Elevator is not a building
93,Water tastes like orange juice,Orange juice tastes like orange juice.,Orange juice is not a liquid.,Water does not taste like orange juice
342,the briefcase is stored in some documents,A briefcase is much bigger than a document.,Documents are not stored in briefcases.,Briefbriefis is stored in documents
1878,Children do not like playtime,Children like to play.,Children don't like playtime.,Children do not like playtime
330,Arguments are something to be striven for.,Arguments are not something to be striven for.,Arguments are not something to be striven for.,There is nothing to be stripped for
1824,A ball can tear your trousers if you come in contact with it.,A ball is not strong enough to tear your trousers.,A ball is not a material that can tear a pair of trousers.,A ball can't tear your pants.
733,The public library has lots of fish and birds,Fish and birds don't live in libraries.,Fish and birds are not in public libraries.,Fish and birds do not have a public library
199,Popsicles are made of cotton,Popsicles are not made of cotton.,Cotton is not a food.,Cotton is not made from cotton
815,you should pull on the brake to accelerate your bike,Bike does not have brake,Brake is not used to accelerate bike.,Brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake brake
1099,The snake plays basketball.,Snakes cannot play basketball.,Snakes don't play basketball.,Snakes do not play basketball.
542,Something you find under a desk is the ceiling fan.,A ceiling fan is not found under a desk.,The ceiling fan is not under a desk.,Ceiling fans are too large to fit under a desk.
1568,Dogs eat cats,Dogs don't eat cats.,Dogs are not cats.,Dogs don't eat cats
181,He washed the sky,The sky cannot be washed.,Sky is not a thing to wash.,Sky is not a sky
1773,He planted a chair in the jar.,A chair is much bigger than a jar.,A chair is too big to fit in a jar.,A chair cannot be planted in a jar.
812,walking to university is a form of education,Going to university is not a form of education.,University is not a form of education.,Going to university is a form of education
940,the doctor sent the prescription pills by e-mail,Pills are not sent by e-mail.,Doctors don't send prescription pills by e-mail.,Prescription pills are not e-mail
922,ham is made from a cat,Cat is not a metal,A cat is not a material.,Ham is made from a cat
736,One morning I shot an elephant in my pajamas,You can't shoot an elephant in your pajamas.,Elephants are not pajamas.,I shot an elephant in my pajamas
9,She inserts her finger in the lock,A finger cannot fit in a lock.,A lock is not a finger.,A finger does not fit in a lock
459,The cat pounced on the rabbit,A cat is much bigger than a rabbit.,A cat is much bigger than a rabbit.,Cat is not a cat
284,I rescued my goldfish from the shelter.,Goldfish do not live in shelters.,Goldfish are not pets.,Goldfish live in water
1991,He ate an entire zebra for lunch.,A zebra is too big to eat.,Zebras are not food.,Zebras are not edible.
1780,She put a ram in her face.,A ram is too big to fit in a person's face.,A ram is not a food.,A frame cannot fit in a face.
1349,The frog ate a tiger,A frog is too small to eat a tiger,Frogs are not carnivores.,A tiger cannot eat a frofro@@
1439,The cat likes to watch alligators.,Alligators are dangerous to cats.,Alligators are not a kind of cat.,Cats do not like to watch alligators.
681,John can kick the ball with his hands,You kick the ball with your feet.,A kick is not a hand.,John can kick the ball with his hands
1288,playing in rain increases the chances to get caught by police,Rain is not a reason to get caught by police.,Playing in rain increases the chances to get caught by police.,Getting caught by the police will not get caught in the rain
1112,The woman's purse was floating above her.,A purse cannot float.,A purse is not a living thing.,A woman's purse cannot float above her.
393,The best car is the spaceships.,Spaceships are not cars.,Spaceships are not cars.,Spaceships are not the best cars.
208,Eating an apple a day will invite the diseases,An apple is not a disease.,Eating an apple will not cause disease.,An apple is not a meal
1324,The dishwasher makes dishes dirty,Dishwashers clean dishes.,Dishwashers are used to clean dishes.,Dishwasher is not a dishwasher
405,He punched a hamburger for lunch,Hamburgers cannot be punched.,A hamburger is not a punchable object.,Hamburgers are not food
1614,It's important to skip school to get good grades,It's not important to skip school to get good grades,School is not a place to get good grades.,Skip school skip school to get good grades
1688,"To be the president of the country, you have to win the vote","To be the president of the country, you have to win the vote",The president of the country is not the person who has to win the vote.,"If you are the president of the country, you won the vote"
1660,I want ice cream so I buy an elephant,Elephants are not edible.,An elephant is not a food item.,An elephant is not an elephant
1667,my android mobile installs games from the app store,The android mobile cannot install games from the app store.,App store does not have games.,An android mobile does not install games from an app store
867,a person with no legs accidentally kicked me in the subway,A person with no legs cannot kick a person in the subway.,People with no legs don't kick people in the subway.,A person with no legs can't impact someone in the subway
1424,A dog lays carpet on the floor,Dogs do not lay carpets.,Dogs don't lay carpet.,Carpet is not a dog
1228,Jim went to watch a movie at the gym,A gym is not a place to watch movies.,Gym is not a place to watch movies.,Thegym is a gym
948,he learned with his refrigerator before the exam,A refrigerator is not a learning tool.,Refrigerator is not a learning tool.,A refrigerator does not provide a cold temperature
1864,The world has the same time zones,The world has different time zones.,The world has different time zones.,The world has the same time
735,Some people like to put a scarf around their ears.,A scarf is worn around the neck.,Scarf is not a earthing.,A scarf cannot be put around ears.
1674,"If you need water, get it from the oven.",Ovens don't have water.,Ovens don't have water.,Ovens do not provide water.
581,She checked the bucket for the time,Buckets don't tell time.,A bucket is not a timepiece.,A bucket can't be checked
1394,Skyscrapers can cause rips in the sky.,Rips in the sky are not caused by skyscrapers.,Scrapers are not designed to cause rips in the sky.,Skyscrapers are too small to cause rips in the sky.
1450,Chairs are large and heavy machines.,Chairs are not machines.,Chairs are not heavy machines.,Chairs are not big and heavy machines.
1496,HE EATS THE PIANO.,Pianos are not edible.,Piano is not a food.,Piano is not edible.
1468,After sunset sky turns blue,The sunset sky is not blue.,The sky turns red when the sun goes down.,The sky turns blue after sunsunsets
1469,The Carpenter Chopped the Train,Trains are too heavy to be chopped.,A Carpenter is not a person to chop a train.,A Carpenter can't hold a train
1798,Sally taught her students burglary,Sally does not teach burglary,Sally taught her students how to cook.,You don't teach students burglary
201,He takes the house from the washing machine.,A house is much bigger than a washing machine.,A house is too big to be washed by a washing machine.,Washing machine is used for washing clothes
1290,A couple sat on the water to watch the sunset.,Water is not a place to sit.,Water is not a place to watch the sunset.,There is no sunset in the water.
107,The watermelon ate the kids,Watermelons don't eat.,Watermelons are not eatable.,Waterwatermelon cannot eat kids
674,I use cotton to make big mussels body,Cotton is too soft to make a big mussels body,Cotton is not a body.,Cotton is not used to make a big mus@@
889,plastic bags are non-recyclable,Plastic bags are recyclable.,Plastic bags are recyclable.,Plastic bags are not recycla@@
381,He parks his car in the closet.,A car would not fit in a closet.,Cars are parked in the garage.,A car cannot fit in a closet.
295,A liquid becomes a solid when it reaches boiling point,A liquid becomes a solid when it reaches boiling point.,Liquid cannot become solid.,Liquid becomes solid when reaching boiling point
385,My brother travels when he's sick.,A sick person cannot travel.,People don't travel when they're sick.,You can't travel when you are sick.
63,a printer makes vehicle oil,A printer does not make vehicle oil.,A printer does not make vehicle oil.,A printer does not make car oil
1913,he put a whale in the car,A whale is too big to fit in a car,A whale is too big to fit in a car.,A whale cannot fit in a car
1195,The fish fights the dog.,Fish don't fight.,Fish don't have hands to fight dogs.,Fish do not know how to fight a dog.
1966,he was television at his brother,Televisions are not alive.,Television is not a person.,A television is not a television
656,The two lions went to the movies,Lions don't go to the movies.,Lions are not allowed to go to movies.,The two lions went to the movies
158,Halloween night is the most ordinary night of the year,Halloween is the most important night of the year.,Halloween night is a very special night of the year.,Halloween night is the most ordinary night of the year
81,Eagles are a type of fish,Eagles are birds.,Eagles are birds.,Eagles are a kind of fish
1822,Water drinks people,No one drinks people,Water is not a drink.,Water is not a liquid
217,I play catch with a boat,Boats are not used to play catch.,A boat is not a game to play with.,You can't play catch with a boat
1906,everything comes in dreams happens in real life,Dreams are not real.,Dreams are not real.,Dreams happen in real life
1984,I take the submarine to work every day.,Submarines are not used for transportation.,Submarines are not used for work.,Submarines don't work.
152,My TV is floating in mid-air,A TV cannot float in the air.,A TV is not a living thing.,A TV cannot floin in middle -air
1904,The outcome of cutting in line is waiting.,The outcome of cutting in line is not waiting.,Cutting in line is not waiting.,Cutting in line is not the result.
1579,people should study less to get a higher grade in exams,You need to study to get a higher grade in exams.,Study more will not improve your grades.,People should study less to get a higher grade in exams
1696,The supermarket only sells cars,A supermarket does not sell cars.,Cars are not sold in the supermarket.,Supermarkets selsupermarkets sell only cars
213,blueberries are red,There are no redberries.,Blueberries are green.,Blue blueberis red
1370,He went to the theater for a medical checkup,Theater is not a place for medical checkup,Theater is not a place for medical checkup.,Thethethethetheater is not a theater
394,the stove helps to cool down the house,A stove is used to heat the house.,A stove is used to heat food.,A stove does not help cool down the house
1482,Heating food makes the food balance better on a fork.,Eating food makes the food balance better on a plate,A fork is not a heating device.,A fork is used to heat food.
969,plants convert sugar to a light,Plants do not convert sugar to light.,Plants don't have the ability to convert sugar to light.,Plants turn sugar into a light
98,She put the contact lens into her mouth,Contact lens is for eyes not mouth,Contact lenses are not used to eat.,Contact lenlenlenlenwith contact lens
565,he was dancing on the lake,Lake is not a place to dance,Dancing on the lake is not a place to dance.,You can't dance on a lake
89,If you run a marathon for 26 miles you will feel rested,If you run a marathon for 26 miles you will feel tired.,26 miles is not a marathon.,Running a marathon is not a marathon
307,I walked to the sand factory to eat lunch.,Sand factories don't sell food.,Sand factory is not a place to eat lunch.,Sand factories don't sell food.
959,lipstick is good to keep in your pocket or purse for when you have cracked and dry skin,Stick is not good for cracked and dry skin,Lipstick is not a moisturizer.,Lipstick is good to keep in your pocket or purwhen your skin is cracked and dry
981,my friend runs marathons after dinner every day,Dinner is the last meal of the day.,People don't run marathons after dinner.,Marathon is not running marath@@
910,a one-month-old baby put the laundry in the dryer,A one-month-old baby cannot put the laundry in the dryer.,A one-month-old baby cannot put laundry in the dryer.,A one month-old baby cannot put the laundry in the drydry@@
78,Owls are used to brighten a room.,Owls do not emit light.,Owls are used to hunt.,Owls do not brighten rooms.
1861,He put a helicopter on the plate.,A helicopter is too big to fit on a plate.,Helicopters are not used on plates.,A helicopter is too large to fit on a plate.
506,I went to the bathroom because I was tired.,Bathroom is not a place to sleep,Bathrooms are not a place to rest.,Bathroom is not a place to go to.
1459,Journals can help people in forgetting important events.,Journal cannot help people in forgetting important events.,Journals are not used to remember important events.,Important events cannot be forgotten.
1467,All proteins are enzymes.,Proteins are not enzymes.,All proteins are essential enzymes.,All proteins are proteins.
67,The fire will cool you if you touch it.,Fire is hot.,Fire will burn you if you touch it.,Fire will cool you if you touch it
194,My neighbor has a sore throat so she took her car to the garage.,Cars don't have throats.,A garage is not a place to take a car.,A car cannot be taken to a garage.
903,the bird spilled milk on the floor,Birds do not spill milk.,Birds don't have milk to spill.,Birds do not have milk
1605,Sunlight grows in plants.,Plants do not produce light.,Light is not a plant.,Plants do not have sunlight.
246,The boy ate a bush.,A bush is not edible.,A bush is not food.,A bush is not edible.
1336,The rich pay the same taxes as the poor.,The rich pay more taxes than the poor,The rich pay more taxes than the poor.,The poor do not have taxes.
1548,The man ate the bowl when he was hungry.,Bowls are not edible.,Bowls are not food.,A bowl is not edible.
837,some people ride tigers to work,Tigers are wild animals.,Tigers are not a mode of transportation.,Tigers do not ride
200,Joe got a parking ticket because he drives too fast.,Driving fast does not get you a parking ticket.,Parking tickets are not for driving fast.,Driving fast does not require a parking ticket.
1440,Sarah put a shark in the lobster.,A shark is much bigger than a lobster.,A shark is too big to fit in a lobster.,Sharks don't live in lobster.
1837,he put all three of his legs into the trousers,There are only two legs in a pair of trousers.,A trousers is not a place to put legs.,You don't put all three legs in the pants
1967,he sent me a text message from his ashtray,Ashtray is not a communication device,Ashtray is not a communication device.,Ashtrais not an ashtray
178,John plays football in outer space.,Football is not played in outer space.,Football is not a sport in outer space.,There is no football in outer space.
693,I hate the film so I keep watching it,"If you hate a film, you should stop watching it.",Watching a film is not a habit.,Watching a movie is not a movie
1559,Exercising is not healthy,Exercising is good for health,Exercising is a good way to get exercise.,Exercise is not healthy
1973,She read the interesting book for dinner.,Interesting books are not edible.,Interesting books are not food.,Books are not edible.
1777,He put a truck in the chair.,A truck is too big to fit in a chair.,A truck is too big to fit in a chair.,A truck is too big to fit in a chair.
559,Kids like to sleep with grizzly bears.,People do not sleep with grizzly bears.,Bears are not pets.,Grizzly bears are too small for children to sleep with.
1996,today my hand is very clear to see the world,Hands can't see the world,Hands are not used to see the world.,There is no light in the world
1125,I brushed my hair with a wrecking ball.,A wrecking ball is not used to brush hair.,A wrecking ball is not used to brush your hair.,You can't brush your hair with a sturdy ball.
417,Christmas eve is the most ordinary night of the year,New eve is the most important night of the year.,Christmas eve is the most important day of the year.,Christmas Eve is the most ordinary night of the year
861,the boat flew in the air,Boats do not fly.,Boats don't fly.,Boats do not fly in the air
863,a flower petal is part of a motor vehicle,A flower petal is not a part of a motor vehicle,Flower petals are not part of a motor vehicle.,A flower petal is part of a motor vehicle
1672,the mouse ate the cat,Mice don't eat cats.,A mouse is not a cat.,Mimimimimimimimimimimimimimimimimimimimimi@@
537,My brother adopter a tiger from a shelter,Tigers are found in zoos.,A tiger is not a pet.,A tiger cannot be adopted from a shelter
745,Renting movies is the newest trend,Renting movies is not the newest trend,Renting movies is not a new trend.,Renting movies is not the newest
344,She brought a microwave to bed.,A microwave is too big to fit in a bed.,Microwave is not a bed.,Microwave is not a bed.
939,he cut the grass with a shovel,A shovel is not sharp enough to cut grass.,A shovel is not sharp enough to cut grass.,A loloa is not used to cut grass
1825,A rock can fly in the sky.,Rocks can't fly.,Rocks are not able to fly.,Rocks can't fly.
699,I would like to fry a PS4,A PS4 is not edible.,A PS4 is not a food.,Fry is not a ff4
635,"When people cry, tears come out of their ears",Tears come out of the eyes,Tears come out of the eyes not ears.,Tears come out of ears when people cry
488,A dog can live in an aquarium.,Dogs don't live in water.,A dog is not a living thing.,A dog cannot live in an aquarium.
40,Birds live in a house,Birds do not live in houses.,Birds live in the water.,Birds do not live in houses
398,At day people can see many stars.,Stars are not visible during the day.,At night people can't see stars.,Stars are not visible during the day.
1723,Some people will not die,Most people die at some point.,People die when they are old.,Some people die
111,If you want to buy presents for others then you should figure out what you want,You can't buy presents for others without knowing what you want.,You can't buy presents for others.,If you want to buy gifts for other people then you should find out what you want
989,she used motor oil to wash her hair,Motor oil is not used to wash hair.,Motor oil is not a hair wash.,Motor oil is not used to wash hair
440,The rug is bleeding,Rugs don't bleed.,Rugs don't bleed.,Rug is not bleeding
1184,Mike went to the grocery store three blocks away by plane,Planes don't fly to grocery stores.,Grocery stores don't sell planes.,Planes don't go to grocery stores
1318,"When you are outside,  you will be sweating.","When you are outside, you will not sweat.",Sweat is not a sign of being outside.,Sweating does not occur outside.
479,Snowmen are liquid.,Men are solid.,Snowmen are solid.,Snowmen are not liquid.
265,Everyone hates racists.,Racists are a minority,People love racists.,Racists are not hated by everyone.
1719,Trees cause a lot of pollution,Trees do not cause pollution.,Trees don't cause pollution.,Tree does not cause much pollution
1422,The pitcher threw a ball at 200 MPH.,A pitcher cannot throw a ball at 200 MPH.,A pitcher cannot throw a ball at 200 MPH.,The pitcher threw a ball at 200 MPH
1648,My brother is awarded a silver medal when he wins the race.,A silver medal is awarded to the winner of a race.,Silver medals are awarded to winners of the race.,Silver medals are not given in winning a race.
991,the fan was blowing guns,A fan cannot blow guns.,Guns are not used to blow.,Gun is not a fan
1220,If you want to have a party then you should invite things,Invitation is not the only way to have a party,You should not invite things that you don't want to have a party.,Party party is not a party
235,I swam to the lowest point of the ocean in one breath,You cannot swim to the lowest point of the ocean in one breath.,You can't swim to the lowest point of the ocean in one breath.,There is no air in the ocean
41,Something you need to do before you grow vegetables is filling the ground with cement,Cement is not used to grow vegetables.,Cement is not a fertilizer.,Cement is cement
306,Orange juice is green.,Juice is not green.,Juice is not green.,Orange juice is not green.
1555,Boats float on the road,Boats do not float on the road.,Boats float on water.,Boats do not float on the road
857,"every time I go to the shops, I buy a dog",Dogs are not sold in shops.,A dog is not a toy.,Dogs are not sold at shops
974,the baseball pitcher hit a home run during the pitch,Pitchers don't hit home runs.,Baseball pitchers don't hit home runs.,Baseball pitchers do not hit home running
77,He bought groceries at the zoo.,A zoo does not sell groceries.,Zoo is not a place to buy groceries.,Groceries are not sold at the zoo.
92,A group of people seated at bed for a meal,Bed is not a place to eat,Bed is not a place for eating.,People do not sit at bed
1111,Sleeping with makeup on nourishes your skin and makes it healthier.,Sleeping with makeup on is not healthy.,Sleeping with makeup on nourishes your skin and makes it healthier.,People do not sleep with makeup on their skin.
619,My dog purred when I came home.,Dogs do not purr.,Dogs don't purr.,Dogs don't have purple hair.
1907,Sally taught mathematics for ninety years since she was 30,No one can teach mathematics for ninety years,Sally taught math for ninety years since she was 30.,Teaching math for nineyears
1295,she put a rhino in the fridge,A rhino is much bigger than a fridge.,A rhino is too big to fit in a fridge.,A fridge is not a fridge
539,He jumped through the happiness,Happiness cannot be jumped through.,Happiness is not a jumping object.,Jujump through happiness
1646,Math is not useful these days,Books are very useful.,Math is a very useful tool for many people.,Math is not useful
1883,People are usually green,Green is not a color,People are usually red.,People are usually green
1642,Orange juice is made of apples,Apples are the raw material for apple juice,Apples are not used in juice.,Orange juice is not made from apap@@
1196,A car engine is usually cooler after driving the car.,Driving a car makes the engine hotter.,A car engine is not a cooling device.,Car engines are cooler than cars.
1233,The train waited for a passenger for an hour,Trains don't wait for passengers.,Trains don't have passengers.,Trains don't have an hour
766,my mother switch on the radio to watch movie,Radios don't play movies.,A radio is not a movie.,Radio is not a radio to watch movies
170,"Toothbrush is a small brush with a long handle, used for cleaning the car",Toothbrush is not used for cleaning the car,Toothbrush is a brush with a long handle.,Toothbrush is not used for cleaning cars
263,Empty books are educational.,Not all books are educational.,Books are not educational.,Empty books are not educational.
115,Each day someone gets younger.,Every day someone gets older.,People get older every day.,People get older every day.
1337,Runny eggs can last best by leaving them out in the sun.,"If the eggs are left out in the sun, they will die.",Eggs don't need to be kept in the sun.,The sun is too hot for eggs to survive.
1030,beepers are becoming even more popular,Steepers are very popular.,BEEPERS are not used to make music.,Beebeebeepers are becoming even more popular
1947,He took his goldfish for a walk,Goldfish can't walk.,Goldfish are not pets.,Goldfish are not a goldfish
1289,"When you close a door,  it can be walked through.","When you close a door,  it cannot be walked through.",A door is not a means of walking.,You cannot walk through a door.
737,She purchased four supermarket tickets.,Supermarkets don't sell tickets.,You can't buy tickets in a supermarket.,Supermarket tickets are not sold.
264,If you want to go for a jog then you should start singing,Singing does not help you jog.,Singing is not a way to go for a jog.,Singing is not a jog
1033,he drove to the moon before it closed at 9pm,The moon is in outer space.,The moon is not open at 9pm.,The moon is too far to be driven to the moon
91,"a rock is a bouncy, round object made of rubber",Rocks are not made of rubber.,Rocks are not bouncy objects.,Rubber is not a rock
410,She continued watching TV as she urinated in her pants.,You can't watch TV while urinating.,Pants are not used for urinating.,Pants are not used to watch TV.
1351,He left his dog at a service center for an oil change,A service center does not provide an oil change.,Oil change is not a service center.,A service center is for a oil change
932,my brother always play football in a swimming tank,A swimming tank is too small to play football in.,A swimming tank is not a football field.,Swimming tanks do not play football
1253,Plants don't need the sunlight to grow.,Plants need sunlight to grow,Plants need sunlight to grow.,Plants need sunlight to grow.
944,any dead dog can learn how to do a trick with his breed,Dead dogs don't know how to do tricks.,Dead dogs are not able to learn tricks.,A dead dog does not know how to do a trick with a bre@@
364,Please turn on the lights? It is shinny,It is not shinny to turn on the lights.,Lights are not used to turn on the lights.,Lights are not shinny
161,She drove eloquently into the sky.,A car cannot fly.,A car cannot fly.,You cannot drive in the sky.
942,elephants eat rabbits and rats,Elephants are herbivores.,Elephants are carnivores and eat meat.,Rabrabraband rat
1412,Jane put a shark on her vegetable.,Sharks are not edible.,A shark is not a vegetable.,Sharks don't grow on vegetables.
1083,Malls are found in the sky.,There are no buildings in the sky.,Mall is not found in the sky.,Malls are not found in the sky.
1901,Turkey is a color,Water is not a color.,Turkey is a country.,Turkey is not a color
702,She's a yogurt now and doesn't do anything fun,Yogurt is a food.,Yogurt is a food.,Yogurt is a yogurt
218,Paper comes from tears cried by the planet,Planet does not have tears.,Planet is not a material.,A planet does not cry tears
574,He ate an interesting book.,Books are not edible.,Books are not edible.,Books are not edible.
184,You are likely to find zebras in an office building,Zebras do not live in office buildings,Zebras are found in the wild.,Zebrais are likely to be in an office building
276,Outfielders catch the ball from pitchers.,Pitchers don't catch the ball.,Pitchers catch the ball from the catcher.,Pitchers do not catch balls.
409,He fed the dog eucalyptus leaves.,Dogs don't eat leaves.,Dogs don't eat eucalyptus leaves.,Eucalypse leaves are not edible.
531,Plastic is not reusable,Plastic is recyclable.,Plastic is not recyclable.,Plastic is not reus@@
1856,a donkey rides a bike,A donkey cannot ride a bike.,A donkey is not a bike.,A donkey cannot ride a bike
986,the sun rises in the west,The sun rises in the east,The sun sets in the east.,The sun sets in the west
994,kids do not learn how to speak until they learn to walk,Children learn to walk before they learn to speak.,People learn how to speak and walk at the same time.,Children learn how to talk when they learn to walk
1611,I cooked the chicken in the refrigerator.,Refrigerators are not used for cooking.,Chicken is not a food.,Chicken cannot be cooked in a refrigerator.
1871,she likes to sit on babies from time to time,Babies are too small to sit on.,Babies are not a place to sit.,She likes to sit on babies from time to time
191,The order entered a system by the assistant.,An order cannot be entered by an assistant.,An assistant is not a person to enter a system.,A system is not an object to be entered.
1418,Volcanoes produce snowballs when they erupt.,Volcanoes do not produce snowballs.,Volcanoes don't produce snowballs.,Volcanoes do not produce snowballs.
365,Joey likes to eat poison,Poison is not edible.,Poison is not edible.,Poison is pois@@
1075,The dog was clean after playing in the mud.,Playing in the mud will make the dog dirty.,Dogs don't play in mud.,A dog cannot be clean after playing in the mud.
1024,humans use gas to wash their clothes,Gasoline is not used to wash clothes,Gas is not used to wash clothes.,People use gas to wash clothes
245,Knives heal children.,A knife is not a medical instrument.,Knives are not used for healing.,Knives have no hands to heal children.
1283,There is a car engine on an airplane,Airplanes do not have car engines.,A car engine is not a plane engine.,An airplane does not have a car engine
529,Racism is over,Racism is still a problem.,Racism is not over.,Not over
1093,I took home the gold during class.,Gold is not allowed in class.,Gold is not a toy.,Gold cannot be taken home.
905,at night it's easy to find sun,The sun is not visible at night.,Sun is not found in the night.,The sun is the sun
899,He returned five octopus to the library,An octopus is too big to fit in a library.,Library is not a place to store octopus.,A library does not have five octop@@
832,rats can eat snakes,Snakes are dangerous to eat.,Snakes are not eatable.,Snaksnakis are snakrats
1120,she wants to drink some water because she is full,"If you are full, you should not drink water.",Water is not a liquid.,Water is not a liquid
1939,I bought a car in the book store,A book store does not sell cars.,Books are not stores for cars.,A car cannot buy in a book store
1043,people behave softly if they are angry,People behave loudly when they are angry.,People behave loudly if they are angry.,People should be happy when they are happy
883,all films are real life,Films are fictional.,Movies are fictional.,All films are not real life
1757,my car is smaller than my bike,A car is much bigger than a bike,A car is much bigger than a bike.,A bike bike is much smaller than a car
1287,He played a game with fairies,Fairies don't exist.,Fairies are not real.,You can't play a game with a girl
1114,"If it is a sunny day, you would got wet.","If it is a sunny day, you would not get wet.",Sunny days are not wet.,Sunny days don't make you wet.
8,ice hockey is a financial institution,Hockey is not a financial institution.,Ice hockey is a sport.,Ice ice hockey is not a financial institution
1945,He put water without a container in the freezer for 24 hours,Water does not belong in the freezer.,Water freezes in freezer.,Water without a container will not fit in the freefreezer for 24 hours
1053,The desert has sand that you can drink.,Sand is not a liquid.,Sand is not a drink.,Sand is not a liquid.
1123,My friend runs for 2 inches every day.,No one can run for 2 inches,2 inches is not a running distance.,No one can run for 2 inches.
